"id","visit","center","bia1a","bia1a1","bia1a2","bia1c","bia1c1","bia2a","bia2a1","bia2c","bia2c1","bia3a","bia3a1","bia3c","bia3c1","bia4a","bia4a1","bia4c","bia4c1","bia5a","bia5a1","bia5c","bia5c1","bia6a","bia6a1","bia6c","bia6c1","bia7a","bia7a1","bia7c","bia7c1","bia8","bia1b","bia1d","bia2b","bia2d","bia3b","bia3d","bia4b","bia4d","bia5b","bia5d","bia6b","bia6d","bia7b","bia7d","bia9"
"NW30695",8,"NW","ASK THE KID AGAIN IF I COULD USE THE BALL.",,,"SAY ""PLEASE""",,"SAY ""WHAT ARE YOU GOING TO DO?"" TO THE OTHER KID",,"TRY TO SETTLE THEM DOWN (HOW?) IF THERE WAS A","BENCH I'D SAY SIT DOWN AND TALK IT OVER WITH THEM.","I WOULD SAY NO, THIS IS MY MONEY",,"I WOULD SAY THIS IS MY MONEY AND I WANT TO KEE","P IT.","I WOULD TELL THE OTHER KIDS PAREN","TS.","I'D TELL THE PRINCIPAL.",,"I WOULD SAY ""YOU CUTTED ME""",,"I WOULD TELL THE PERSON WHO OWNS THE WATER FOU","NTAIN.","I WOULD SAY ""TIME OUT HERE, WHY ARE","YOU GUYS FIGHTING?""","I WOULD SIT THEM DOWN AND MAKE THEM TALK OVER","AND SHAKE HANDS.","I WOULD PULL HER OUT OF THE FIGHT AND SAY WHY ARE","YOU GUYS FIGHTING? IT'S NOT NICE, IT'S NOT GOOD EITHER.","MAKE THEM HUG AND MAKE UP.",,"PJV",1,1,1,1,1,1,4,4,1,4,1,1,1,1,2/15/1997
"NW30706",8,"NW","GO ASK SOMEBODY ELSE",,,"PLAY WITH SOMETHING ELSE",,"WALK AWAY",,"GO SOMEWHERE ELSE",,"WOULDN'T GIVE IT TOO HIM - ""WHAT WOULD YOU DO?"" IGNORE HIM",,"PASS",,"TELL HIM TO STOP",,"PASS",,"GET PLACE BACK IN LINE",,"GO TO THE END OF THE LINE",,"TELL THEM TO STOP",,"GO TELL SOMEBODY",,"TELL THEM TO STOP",,"WALK AWAY",,"CRH",5,5,5,5,5,,1,,7,5,1,4,1,5,6/15/1999
"NW30719",8,"NW","ASK HIM AGAIN NICELY",,,"TELL THE COACH",,"KICK HIM IN THE BUTT",,"TELL HIM TO LEAVE ME ALONE",,"TELL HIM NO",,"TELL HIM GET YOUR OWN",,"TELL THE TEACHER",,"TELL GRANDMA",,"TELL HIM TO GET AT THE END OF T","HE LINE","SAY ""I'M VERY THIRSTY"", SO THAT I CAN GET BACK","IN LINE AGAIN","TELL THEM TO STOP FIGHTING",,"TELL GRANDMA",,"TELL HER TO LEAVE MY FRIEND ALONE",,"TELL SISTER",,"DLW",1,4,2,3,1,1,4,4,1,1,1,4,1,4,4/15/1999
"NW30727",8,"NW","I WOULD GO BUY MY OWN BALL",,,"I WOULD JUST WALK AWAY AND GET ANOTHER ONE",,"RUN",,"RUN HOME AND TELL MY MOMMY",,"RUN",,"RUN HOME AND TELL MY GRANDMA",,"TELL MY MOMMY",,"GO TO THE TEACHER",,"I WOULD SCREAM FOR HELP",,"GET BACK UP AND RUN HOME",,"SAY ""YOU SHOULD APOLOGIZE AND BE BE","ST FRIENDS""","SAY ""CAN YOU PLEASE BE BEST FRIENDS?"" AND HOPE","FULLY THEY'LL SAY ""YES""","I WOULD SAY ""CAN YOU PLEASE BE FRIENDS?""",,"I WOULD ASK THEM TO BE BEST FRIENDS AND PLAY T","OGETHER WITH OUT MAKING FIGHTS","AJS",5,5,5,5,5,5,4,4,4,5,1,1,1,1,1/15/1998
"NW30731",8,"NW","I WOULD GO BACK AND HOME AND GET A BASKETBALL.",,,"SAY ""YES, LET ME USE IT FOR A MINUTE, JUST ONE","MINUTE. THROW IT AND THEN GIVE IT TO ME AND I WILL GIVE IT RIGHT BACK.""","WOULDN'T DO ANYTHING.",,"I WOULD HIT HIM WITH A STICK AND KNOCK HIM OUT",,"SAY ""NO, I WILL HIT YOU AND KNOCK YOU OUT. I WOULD KILL YOU.""",,"SAY, ""IF YOU HAVE MONEY THAT I COULD BUY A POP","WITH THEN YOU CAN USE MY MONEY AND I WILL USE YOUR MONEY. IF YOU DON'T HAVE","I WOULD BACK HAND HIM AND HURT","HIM. TAKE HIM TO THE POLICE OFFICE AND WRITE HIM UP.","COULDN'T THINK OF ANYTHING ELSE",,"PUSH HIM OUT OF LINE.",,"I WOULD HAVE WOOD IN MY HAND AND BUILD A DOOR","SO THE KID COULDN'T PUSH ME OUT OF LINE.","CALL THE POLICE OFFICE AND TELL","THEM THAT KIDS ARE FIGHTING.","I WOULD SAY ""HEY, YOU NEED TO KNOCK IT OFF OR","AM GOING TO CALL THE COPS AND YOU AND YOU WILL GO TO JAIL.""","SAY ""COME ON FRIEND WE HAVE PLANS TO DO, LET'S","GO PLAY BASKETBALL. I WOULD PULL HIM AWAY AND SAY WE HAVE PLANS.""","SAY KNOCK IT OFF, I WILL CALL THE POLICE","OFFICER IF YOU DON'T KNOCK IT OFF.","CLL",5,6,5,2,3,6,2,,2,7,4,3,6,3,3/15/2000
"NW30743",8,"NW","NOTHING",,,"PRACTICE THINGS WE DON'T NEED A BALL FOR",,"WALK AWAY FROM HIM",,"I DON'T KNOW",,"GIVE IT TO HIM THEN TELL A PARENT",,"NOTHING",,"ASK HIM TO PLEASE STOP",,"GO TELL SOME GROWN UP",,"SAY YOU'RE NOT SUPPOSED TO PUSH","PEOPLE","ASK HIM WHY HE PUSHED ME",,"TELL THEIR PARENTS",,"TELL ANOTHER GROWN UP",,"TELL MY FRIEND TO NOT BOTHER WITH IT, LEAVE THEM","ALONE","TRY TO HELP HER BY SEEING WHY SHE IS FIGHTING",,"ELN",5,5,5,,4,5,1,4,1,1,4,4,1,1,1/15/1997
"NW30764",8,"NW","ASK HIM NICELY IF I CAN PLEASE USE THE BALL",,,"GO BACK HOME",,"ASK HIM IF HES GOING TO HIT ME",,"GO HOME",,"TELL HIM I AM SPENDING MY MONEY ON SODA AND NOT ON HIM",,"GO HOME",,"TELL THE TEACHER SO SHE WILL SEND","HIM TO THE PRINCIPAL'S OFFICE","WALK AWAY",,"TELL HIM TO STOP",,"TELL THE TEACHER SO SHE CAN TELL HIM TO STOP",,"GO OVER TO THEM AND ASK THEM WHY TH","EY ARE FIGHTING","TELL AN ADULT",,"TELL THEM WHY ARE YOU FIGHTING WITH EACH OTHER",,"TELL AN ADULT",,"ELN",1,5,1,5,1,5,3,5,1,4,1,4,1,4,11/15/1996
"NW30770",8,"NW","FIND SOMEONE ELSE TO GET A BALL",,,"TELL MOM TO BUY ONE",,"GO GET MOM",,"RUN AWAY",,"WAIT",,"RUN AWAY",,"TELL SOMEBODY",,"MOVE SOMEWHERE ELSE TO SIT DOWN",,"TELL SOMEBODY",,"GET BACK IN LINE (HOW WOULD YOU DO THAT? ""SAY","I WAS THERE"")","TELL SOMEBODY",,"TELL THEM TO STOP",,"TELL THEM TO STOP",,"TELL MOM",,"DLW",5,5,4,5,5,5,4,5,4,1,4,1,1,4,6/15/1998
"NW30788",8,"NW","I'D JUST PRETEND TO HAVE A BALL AND SHOOT HOOPS LIKE I HAD ONE",,,"GO TO WHERE THEY KEEP ALL THE BALLS AND GET ANOT","HER ONE","AVOID HIM AND WALK AWAY",,"WAIT FOR HIM TO PASS",,"I'D SAY NO YOU HAVE YOUR OWN, GO AWAY.  I'D NOT GET A SODA AND RUN AWAY",,"TRY TO GET MY SODA ANYWAY",,"TELL HIM TO QUIT, IT'S NOT NICE,","YOU MAY NOT HAVE FELINGS BUT I DO","TELL HIM TO QUIT, IT HURTS MY FEELINGS, IF HE","WON'T STOP IT I'LL TELL A GROWNUP","I'D GO IN TEH BATHROOM AND DRIN","K FROM MY HANDS -","TELL A TEACHER THAT A KID PUSHED ME",,"I'D TELL THEM TO QUIT, CAUSE THATS","NOT THE WAY TO BE AT THE PARK","TELL THEM TO QUIT, CAUSE THEY MIGHT HURT SOMEO","NE ELSE","TELL HER TO QUIT BECAUSE I DON'T LIKE MY FRIENDS T","O BE BULLYS -","TELL HER TO QUIT 'CAUSE I DON'T WANT TO GET TE","ASED ABOUT HAVING A FRIEND WHO IS A BULLY","ACO",5,5,5,5,1,22,1,3,5,4,1,1,6,6,3/15/1998
"NW30792",8,"NW","I WOULD SAY OK AND GO BACK HOME","AND FIND SOMETHING ELSE TO DO",,"GO ASK MY FRIENDS FOR A BASKETBAL",,"I WOULD RUN AND NEVER RETURN TO THAT KID AGAIN",,"ARE YOU O.K.?",,"I WOULD SAY NO AND RUN FAST HOME AND TELL A GROWN-UP",,"I SAY NO AND WALK AWAY",,"I WOULD TELL HIM TO STOP OR I'LL","TELL THEIR PARENTS","SAY PLEASE STOP AND STAND CLOSE TO THEM SO","THEY COULDN'T SAY ANYTHING ABOUT ME.","SAY STOP AND TELL A TEACHER",,"I WOULD TELL THEM TO STOP AND GO BACK TO MY","SPOT","I WOULD GO OVER THERE AND TELL THEM","TO DO ROCK, PAPER, SCISSORS","TELL THEM TO STOP",,"I WOULD TELL THEM TO STOP AND JUST FORGET ABOUT IT",,"I WOULD TELL THEM TO THINK ABOUT WHAT YOU DID,","TO THE OTHER KID.","SRH",5,4,5,1,1,1,3,7,1,7,6,1,1,1,3/15/2000
"NW30808",8,"NW","GO FIND A DIFFERENT ONE",,,"SAY IF I CAN PLAY TOO",,"RUN AWAY",,"HIDE IN MY HIDING SPOT AND LOCK THE DOOR",,"I'D SAY NO",,"SAY NO AND TURN AROUND",,"STOP IT ""HOW"" SAY STOP IT",,"THREATEN TO TELL",,"SAY DON'T DO THAT OR I'LL PUSH","YOU","SAY ""DON'T DO THAT""",,"I'D SAY BREAK IT UP OR I'LL TELL",,"I'D TELL ""WHO"" WHOEVER IS IN CHARGE OF THEM",,"SAY STOP HURTING MY FRIEND",,"SAY ""I'LL TELL ON YOU""",,"CRH",5,6,5,5,1,5,1,3,3,1,3,4,1,3,1/15/1999
"NW30816",8,"NW","I WOULD SAY ""PLEASE CAN I USE YOUR BALL BECAUSE YOU ARE JUST SITTING THERE T","WIRLING IT""",,"SAY ""PLEASE CAN I?""",,"I'D SAY ""DONT HIT ME IF YOU ARE GOING TO TRY""",,"WALK AWAY",,"I WOULD SAY ""NO, I AM NOT GIVING YOU MY MONEY""",,"WALK AWAY WITH MY MONEY",,"I WOULD SAY ""WAHT ARE YOU SAYING","ABOUT ME""","SAY ""CAN YOU PLEASE TELL ME WHAT YOU ARE SAYIN","G ABOUT ME 'CAUSE I WANT TO KNOW""","I WOULD SAY ""HEY, THAT'S MY SPO","T""","I WOULD SAY ""THAT IS NOT YOUR SPOT, YOUR SPOT","IS AT THE END OF THE LINE BECAUSE YOU PUSHED SOMEONE""","I'D SAY ""STOP FIGHTING BECAUSE YOU","COULD HURT SOMEBODY""","I'D SAY ""YOU STOP FIGHTING""",,"I WOULD TELL MY FRIEND NOT TO FIGHT ANYMORE",,"I WOULD SAY ""YOU NEED TO STOP OR ELSE YOU COUL","D GET HURT""","AJS",1,1,1,5,1,5,1,1,1,1,1,1,1,1,6/15/1998
"NW30829",8,"NW","I'D GO ASK SOMEONE ELSE, MY BEST FRIEND, IF I COULD BORROW ONE",,,"I WOULD MAYBE GO HOME AND COME BACK AND SEE IF","HE WAS STILL THERE, THEN ASK HIM","I WOULD SAY, WHAT HAPPENED?",,"I WOULD SAY, ARE YOU MAD AT ME?",,"I WOULD SAY NO AND WALK AWAY",,"SPEND IT BEFORE HE TAKES MY MONEY",,"I WOULD SAY STOP",,"SAY THAT'S NOT NICE",,"I WOULD SAY GET IN LINE AT THE","END","SAY, WAIT YOUR TURN",,"I WOULD SAY STOP FIGHTING",,"SAY WHY DON'T YOU GUYS GO PLAY TOGETHER","INSTEAD OF FIGHTING","SAY STOP FIGHTING WITH MY BEST FIREND",,"I WOULD TELL THEM TO COME WITH ME, INSTEAD OF","FIGHTING","SRH",4,5,1,1,1,5,1,1,1,1,1,1,1,6,11/15/1999
"NW30834",8,"NW","GO HOME AND GET MY OWN BALL",,,"TAKE THE BALL AWAY FROM THE KID",,"KNOCK HIS FACE OFF.",,"ASK HIM WHY HE'S MAD",,"TELL HIM NO.",,"KNOCK HIM OUT.",,"ASK HIM WHY HE'S DOING IT.",,"KNOCK HIM OUT.",,"PUSH HIM BACK.",,"TELL THE TEACHER",,"SAY BREAK IT UP.",,"TELL THEM TO STOP FIGHTING.",,"TELL HIM TO STOP THAT.",,"SAY BREAK IT UP.",,"ELN",5,2,2,1,1,2,1,2,2,4,1,1,1,1,4/15/1997
"NW30862",8,"NW","SAY WOULD YOU LIKE TO PLAY BALL WITH ME?",,,"SAY LATER CAN I PLAY WITH IT",,"SAY WHAT DO YOU WANT",,"ASK ARE YOU MAD AT ME?",,"SAY NO BECAUSE THIS IS MY MONEY AND YOU CAN'T HAVE IT",,"I WOULD RUN AWAY",,"ASK WHY ARE SAYING THAT STUFF?",,"SAY THAT YOU'RE NOT MY FRIEND ANYMORE",,"SAY YOU CAN'T CUT ME CAUSE I WA","S HERE FIRST","SAY YOU CAN'T CUT ME CAUSE YOU HAVE TO GO TO T","HE END OF THE LINE","I WOULD JUST WALK AWAY AND NOT BE I","NVOLVED WITH IT","DON'T GO NEAR THEM",,"SAY WHY ARE YOU FIGHTING?",,"SAY STOP",,"CRH",6,6,1,1,1,5,1,1,1,1,5,5,1,1,8/15/1999
"NW30873",8,"NW","I WOULD HIM BE REALLY NICE AND TALK TO HIM",,,"SAY I'D GIVE IT BACK ONCE I'M DONE",,"I WOULD JUST TELL HIM I'M SCARED, AND THAT IT'S NOT NICE TO SCARE OTHER","PEOPLE","RUN AWAY FROM HIM",,"I WOULD SAY NO AND I WOULD GO SOMEWHERE ELSE UNTIL HE WAS GONE",,"SAY NO AND GO TO ANOTHER POP MACHINE",,"I WOULD TELL HIM THAT'S NOT NICE","AND GO TELL A GROWN UP REAL FAST","TELL HIM IT'S NOT NICE, ASK HIM TO SAY NICE","THINGS ABOUT ME","I WOULD TELL HIM HE'S CUTTING","ME, ASK HIM IF I COULD HAVE MY SPOT BACK","I WOULD JUST TELL SOMEONE ELSE HE PUSHED ME","OUT OF LINE AND HE WOULD LET ME HAVE MY SPOT BACK, (WHO) HIS MOM OR MY MOM","I WOULD TELL THEM TO WORK IT OUT,","TO STOP THE FIGHTING, TO BE FRIENDS, AND PLAY W/O FIGHTING AND BE NICE","TELL THEM TO STOP AND THEN TELL A GROWN UP","ASK THEM WHY THEY ARE FIGHTING","I WOULD TELL THE OTHER KIDS TO LEAVE MY FRIENDS","ALONE","TELL A GROWN UP REAL QUICK",,"SRH",1,6,1,5,1,1,4,1,1,4,1,1,1,4,12/15/1999
"NW30885",8,"NW","ASK SOMEONE ELSE",,,"SAY PLEASE",,"SAY TEMPER TEMPER, CONTROL, TAKE A DEEP BREATH, AND CONTROL IT",,"SAY TAKE 4 DEEP BREATHS AND WHAT ARE YOU MAD","ABOUT?","SAY NO",,"SAY BUZZ OFF",,"SAY BE QUIET  (THIS WAS SAID SOME","WHAT AGGRESSIVELY)","SAY CAN YOU PLEASE STOP",,"TELL THE TEACHER",,"SAY CAN I PLEASE GET BACK IN MY SPOT",,"RUN UP TO THEM AND SAY STOP",,"BREAK THEM APART BY HOLDING THEM APART AND SAY","ING STOP","SAY GO HOME AND TELL YOUR MOTHER WHAT YOU'VE BEEN","DOING - IF NOT I'LL GO TELL HER","CALL MY MOM FOR HELP",,"CRH",5,1,1,1,1,3,3,1,4,1,1,7,3,4,12/15/1998
"NW30901",8,"NW","LOOK FOR ANOTHER BALL TO USE",,,"ASK A GROWN UP TO GIVE ME ANOTHER BALL",,"RUN AWAY",,"RUN HOME AND TELL MY MOM AND ASK HER TO HELP M","E.","SAY NO",,"GO AWAY AND HIDE",,"DROP HIS FAVORITE TOY IN THE","WATER","TELL MY MOM SO SHE CAN HELP ME",,"PUSH HIM BACK",,"TELL MY MOM IF SHE WAS THERE",,"LEAVE THEM ALONE",,"IGNORE THEM",,"LEAVE THE PARK",,"TELL SOMEBODY THAT A FIGHT IS GOING ON AND TO","HAVE THEM STOP THE FIGHTING","ELN",5,4,5,4,1,5,7,4,2,4,5,5,5,4,10/15/1996
"NW30922",8,"NW","TELL A TEACHER",,,"STILL TELL",,"TELL AN ADULT",,"CRY",,"SAY NO",,"TELL AN ADULT",,"BE MEAN TO HIM (HOW?) SAY MEAN TH","INGS","HIT HIM",,"TELL A NEIGHBOR",,"I DON'T KNOW",,"TELL THEM TO STOP",,"TELL THEM TO STOP IT PLEASE",,"TELL AN ADULT",,"BE MEAN SAY YOU THINK YOUR ALL THAT",,"CRH",4,4,4,5,1,4,3,2,4,,1,1,4,3,10/15/1998
"NW30936",8,"NW","GO ASK SOMEBODY ELSE",,,"GET MY OWN BALL",,"ASK HIM IF HE'S GONNA HIT ME",,"BACK UP TO TRY AND GET AWAY",,"SAY GET YOUR OWN",,"SORRY THIS IS MY MONEY",,"I'D TELL THE KID I DON'T LIKE THA","T","MIGHT TALK TO HIM OR HER",,"SAY I DIDN'T LIKE THAT",,"I MIGHT TRY TO GET MY SPOT BACK",,"TRY TO BREAK IT UP ""HOW"" TELL THEM","TO STOP","TELL THEM TO APOLOGIZE TO EACH OTHER",,"TRY TO BREAK THEM UP ""HOW"" MY HOLDING SOMEBODY BAC","K AND SOMEONE ELSE COULD HOLD THE OTHER PERSON SO THEY COULD CALM DOWN","MIGHT GET IN THE MIDDLE AND TRY TO STOP THEM",,"CRH",5,5,1,5,1,1,1,1,1,7,1,1,7,7,12/15/1998
"NW30948",8,"NW","I WOULD GO ASK ANOTHER PERSON. (WHO) ONE OF MY FRIENDS. (WHAT) CAN I USE","YOUR BALL PLEASE?",,"GO ASK ONE OF THE TEACHERS IF THEY HAVE A BALL I","COULD USE.","RUN AWAY.",,"RUN AWAY AND GO TELL MY MOM. (WHAT) A KID","TRIED TO HIT ME.","I WILL SAY NO.",,"GO TELL MY MOM AND HAVE HER TAKE ME TO THE","STORE INSTEAD.","TELL THE RECESS","TEACHER, AND IF HE DOESN'T STOP I WILL TELL THE PRINCIPAL.","TELL MY MOM.",,"GO TELL THE TEACHER.",,"TELL MY MOM.",,"GO TELL A GROWN-UP.",,"TELL MY MOM, AND SHE WOULD COME DOWN AND GET","THEM TO STOP.","GO OVER TO MY FRIEND AND ASK HER WHY SHE IS FIGHT-","ING. I WOULD TELL THE OTHER PERSON, WHY DID YOU HIT HER? TELL THEM TO SAY","CAN'T THINK OF ANYTHING ELSE.",,"CLL",4,4,5,4,1,4,4,4,4,4,4,4,1,,4/15/2000
"NW30950",8,"NW","TRY TO FIND ANOTHER BALL",,,"TELL THE COACH TO LET ME PLAY WITH THE BALL",,"I'D TELL THAT I DON'T WANT TO BE YOUR FRIEND",,"WALK AWAY",,"WALK AWAY",,"SAY THIS IS MY MONEY AND I WILL NOT GIVE IT TO","YOU","TELL THE PRINCIPAL",,"WALK AWAY",,"WALK AWAY",,"I'M NOT YOUR FRIEND ANYMORE",,"GO OVER THERE AND SAY FIGHTING DOES","N'T SOLVE ANYTHING","TELL THEIR MOMS",,"TO AWAY AND NOT GET INVOLVED",,"GO OVER AND TELL THEM FIGHTING DOESN'T SOLVE A","NYTHING","CRH",5,4,1,5,5,1,4,5,5,1,1,4,5,1,5/15/1999
"NW30969",8,"NW","GO HOME",,,"FORGET ABOUT IT AND DO SOMETHING ELSE",,"SAY SOMETHING NICE LIKE ""DO YOU WANT TO PLAY?""",,"WALK AWAY",,"I'D GIVE IT TO HIM AND ASK MY MOM FOR MORE MONEY",,"SAY NO",,"FORGET ABOUT THEM, JUST IGNORE TH","EM","TELL THEM TO STOP",,"GO TO THE END OF THE LINE",,"I'D SAY STOP",,"SAY PLEASE STOP, IT'S NOT NICE TO H","IT EACH OTHER","GET A GROWNUP TO STOP THEM",,"I'D SAY STOP",,"I'D GET ANOTHER GROWN UP TO STOP THEM",,"CRH",5,5,6,5,5,1,5,1,5,1,1,4,1,4,7/15/1998
"NW30975",8,"NW","SAY PLEASE",,,"TAKE IT AWAY FROM HIM",,"GRAB HIS HAND SO HE CAN'T HIT ME",,"HIT HIM BACK",,"PUSH HIM AWAY",,"ONLY GIVE HIM SOME OF IT",,"TELL HIM I WILL PUSH HIM",,"HIT HIM",,"PUSH HIM BACK",,"KICK HIM AND HIT HIM",,"TELL THEM TO STOP",,"PUSH THEM",,"PUSH MY FRIEND AWAY",,"TELL THE OTHER KID TO LEAVE MY FRIEND ALONE",,"ELN",1,2,7,2,2,5,3,2,2,2,1,2,7,1,10/15/1996
"NW30997",8,"NW","I WOULD ASK SOMEONE ELSE IF I CAN PLEASE USE THAT BALL",,,"SAY MAYBE WE COULD PLAY TOGETHER",,"I WOULD ASK HIM WHAT HIS WRONG AND IF HE DOESN'T SAY NOTHING ABOUT ME I WOUL","D HELP HIM SOLVE IT","HELP MAKE HIM HAPPY; ""HOW"" I WOULD PLAY WITH","HIM IF SOME OF HIS FRIENDS WERE MAKING HIM MAD","I WOULDN'T GIVE IT TO HIM; I WOULD JUST RUN HOME",,"IF AN ADULT WAS THERE I WOULD TELL THEM",,"I WOULD IF THEY SAY TO ME THEY WO","ULD TELL I WOULD PLAY WITH THEM EVERY MINUTE SO THEY CAN'T TALK ABOUT ME","I WOULD TELL THE TEACHER OR I WOULD HAVE US AL","L TALK ABOUT IT AND MAYBE WE COULD SOLVE IT","I WOULD GO TELL THE TEACHER",,"I WOULD ASK HIM IF I COULD HAVE MY PLACE BACK",,"I WOULD GO OVER THERE AND TELL THEM","TO STOP FIGHTING","I WOULD SPLIT THEM UP AND TELL THEM TO PLAY AT","DIFFERENT PARTS OF THE PARK  ""HOW WOULD YOU SPLIT THEM"" BY ASKING THEM","I WOULD BREAK THEM UP ""HOW"" SAY PLEASE STOP FIGHTI","NG","I WOULD TAKE MY FRIEND HOME WITH ME AND WE COU","LD TALK ABOUT IT ""HOW WOULD YOU GET HER TO GO?""  I WOULD JUST TALK WITH THEM","CRH",4,6,1,1,5,4,5,4,4,1,1,1,1,1,3/15/1999
"NW31005",8,"NW","FEEL SAD AND GO HOME TO GET A BALL",,,"ASK MY FRIEND TO USE A BALL",,"GO HOME",,"TELL HIM TO GET AWAY FROM ME",,"SAY NO",,"SAY THIS IS NOT FOR YOU",,"TELL HIM THOSE ARE NOT TRUE AND H","E MAY HAVE DONE THOSE THINGS HE'S SAYING I DID","TALK TO HIM ABOUT THE STORIES",,"PUSH HIM BACK",,"TELL HIM HE CAN'T CUT",,"TELL THEM TO CUT IT OUT",,"TELL THEM THIS IS NOT A PLCE TO FIGHT AT",,"TELL THE OTHER KID TO STOP HURTING MY FRIEND",,"TELL HIM NOT TO MESS WITH MY FRIEND JUST CUZ H","E DOESN'T HAVE A FRIEND","ELN",5,4,5,1,1,1,1,1,2,1,1,1,1,1,11/15/1996
"NW31018",8,"NW","ASK HIM WHERE I CAN GET A BALL",,,"GO ASK A FRIEND TO BORROW A BALL",,"FIGHT HIM",,"RUN AWAY",,"WOULD NOT GIVE IT TO HIM, I'D SAY TRY TO MAKE ME",,"TELL HIM HE CAN'T HAVE IT",,"SEE WHAT IS GOING ON,",,"TELL THE PRINCIPAL TO MAKE THE KID STOP",,"PUSH BACK",,"TELL THE TEACHER TO TELL THE KID TO STOP",,"TELL A GROWN UP TO TELL THEM TO STO","P","ASK KIDS POLITELY TO STOP",,"TELL A GROWN UP",,"ASK THE KIDS WHAT HAPPENED",,"ELN",1,4,2,5,3,1,1,4,2,4,4,1,4,1,10/15/1996
"NW31026",8,"NW","I'LL GO FIND SOMEONE ELSE THAT WILL GIVE ME A BALL.",,,"ASK THEM IF WE COULD SHARE THE BALL.",,"IF HE STOPS I'D KEEP ON WALKING.",,"I DON'T KNOW (PROBED TWICE)",,"I WOULD SAY NO.",,"I WOULD GO TO ANOTHER MACHINE.",,"I WOULD SAY STOP TALKING ABOUT ME",".","I DON'T KNOW. (PROBE) NO.",,"I WOULD SAY I WAS HERE FIRST.",,"I DON'T KNOW. (PROBE) NOTHING ELSE.",,"I WOULD SAY STOP IT AND RUN TO A GR","OWNUP AND TELL THEM.","NOTHING ELSE.",,"I WOULD SAY STOP, STOP, AND THEN CALL THE COPS IF","THEY DON'T STOP.","I DON'T KNOW. (PROBE) NOTHING ELSE.",,"PJV",5,6,5,,1,5,1,,1,,1,,1,,8/15/1997
"NW31032",8,"NW","JUST GO HOME",,,"PRETEND I'M PLAYING BASKETBALL",,"WALK FASTER OR GO BACK",,"RUN HOME",,"TELL HIM NO",,"I'D GO HOME",,"GO AND TELL THE PRINCIPAL OR MY M","OM AND DAD","TELL THEM TO STOP",,"TELL THEM TO LET ME HAVE MY SPO","T BACK","GO AND TELL MY MOM AND DAD OR THE PRINCIPAL",,"TELL THEM TO STOP",,"GO AND TELL",,"SAY BREAK IT UP YOU TWO",,"TRY TO BREAK THEM UP BY TELLING MY FRIEND LET'","S GO HOME","CRH",5,5,5,5,1,5,4,1,1,4,1,4,1,1,8/15/1998
"NW31044",8,"NW","TELL THE COACH. SAY THEY'RE NOT EVEN GIVING ME THE BALL AND THEY'RE NOT USIN","G IT.",,"I WOULD SAY COULD I PLEASE HAVE THE BALL. (WHO W","OULD YOU SAY THAT TO?) THE OTHER KID.","BEFORE HE COMES NEAR ME I'D TRY TO CROSS THE STREET AND GO ON THE OTHER SIDE",".","TRY TO SCOOT OVER ON THE SAME SIDE AND GO AROU","ND HIM, LIKE IF I COULDN'T CROSS THE STREET.","SAY NO TO HIM.",,"I'D CALL SOMEONE TO HELP ME. OR I'D JUST RUN A","WAY TO ANOTHER SODA MACHINE.","I WOULD TELL THE TEACHER.",,"I'D SAY ""PRANKS"" ABOUT THEM, MAKE THINGS UP AB","OUT THEM.","I'D TELL THE TEACHER, SO SHE'D","ASK THE BOY TO STOP.","TRY TO GET BACK IN LINE (TELL ME ABOUT THAT)","JUST GO TO THE END OF THE LINE.","BREAK IT UP. I'D GO SAY STOP, AND","GET IN BETWEEN THEM.","SAY ""WHAT'S GOING ON?"" SAY ""WHY ARE YOU FIGHTI","NG?"" TRY TO TALK TO THEM.","TRY TO GET THEM TO STOP. JUST SAY HOLD IT, HOLD IT",", NOW WHAT'S GOING ON HERE?","JUST SAY WHY ARE YOU FIGHTING? I DON'T LIKE PE","OPLE FIGHTING AND I WON'T BE YOUR FRIEND IF YOU FIGHT.","PJV",4,1,5,5,1,4,4,3,4,5,7,1,1,3,12/15/1996
"NW31059",8,"NW","ASK SOMEBODY ELSE",,,"THAT'S ALL - ASK SOMEONE ELSE",,"HIT HIM BACK",,"THAT'S THE ONLY THING",,"SAY ""NO""",,"THAT'S THE ONLY THING",,"MAKE UP NASTY STORIES ABOUT HIM",,"THAT'S THE ONLY THING",,"PUSH HIM OUT OF THE LINE",,"THAT'S ALL",,"STAY OUT OF IT",,"THAT'S IT",,"I WOULDN'T KNOW WHAT TO DO",,"SAME",,"AJS",4,,2,,1,,3,,2,,5,,,,5/15/1998
